20230101,11
20230102,4
20230103,3
20230104,8
20230105,8
20230106,7
20230107,6
20230108,11
20230109,4
20230110,3
20230111,9
20230112,9
20230113,7
20230114,8
20230115,11
20230116,4
20230117,7
20230118,9
20230119,9
20230120,4
20230121,9
20230122,11
20230123,3
20230124,8
20230125,9
20230126,9
20230127,5
20230128,10
20230129,10
20230130,3
20230131,9
20230201,9
20230202,8
20230203,5
20230204,10
20230205,9
20230206,3
20230207,9
20230208,8
20230209,8
20230210,6
20230211,27
20230212,24
20230213,3
20230214,9
20230215,7
20230216,8
20230217,6
20230218,29
20230219,25
20230220,3
20230221,15
20230222,27
20230223,14
20230224,16
20230225,16
20230226,16
20230227,19
20230228,20
20230301,19
20230302,19
20230303,19
20230304,20
20230305,20
20230306,21
20230307,21
20230308,21
20230309,23
20230310,23
20230311,23
20230312,23
20230313,23
20230314,23
20230315,23
20230316,23
20230317,24
20230318,22
20230319,21
20230320,20
20230321,19
20230322,18
20230323,17
20230324,16
20230325,15
20230326,16
20230327,15
20230328,15
20230329,15
20230330,14
20230331,14
20230401,13
20230402,13
20230403,12
20230404,12
20230405,12
20230406,12
20230407,11
20230408,11
20230409,10
20230410,10
20230411,10
20230412,10
20230413,10
20230414,10
20230415,10
20230416,9
20230417,9
20230418,9
20230419,8
20230420,8
20230421,8
20230422,7
20230423,7
20230424,7
20230425,6
20230426,6
20230427,6
20230428,6
20230429,5
20230430,5
20230501,5
20230502,5
20230503,5
20230504,6
20230505,6
20230506,6
20230507,7
20230508,8
20230509,9
20230510,10
20230511,11
20230512,12
20230513,15
20230514,16
20230515,16
20230516,17
20230517,15
20230518,16
20230519,18
20230520,18
20230521,19
20230522,20
20230523,20
20230524,21
20230525,21
20230526,21
20230527,23
20230528,26
20230529,26
20230530,27
20230531,32
20230601,39
20230602,41
20230603,43
20230604,47
20230605,55
20230606,55
20230607,59
20230608,61
20230609,67
20230610,69
20230611,73
20230612,74
20230613,83
20230614,87
20230615,93
20230616,95
20230617,96
20230618,97
20230619,98
20230620,98
20230621,98
20230622,98
20230623,98
20230624,100
20230625,100
20230626,100
20230627,100
20230628,100
20230629,100
20230630,100
20230701,100
20230702,100
20230703,100
20230704,100
20230705,100
20230706,100
20230707,100
20230708,100
20230709,100
20230710,100
20230711,100
20230712,100
20230713,100
20230714,100
20230715,100
20230716,100
20230717,100
20230718,100
20230719,100
20230726,100
20230727,100
20230728,100
20230729,100
20230730,100
20230731,100
20230801,100
20230802,100
20230803,100
20230804,100
20230805,100
20230806,100
20230807,100
20230808,100
20230809,100
20230810,100
20230811,100
20230812,100
20230813,100
20230814,100
20230815,100
20230816,100
20230817,100
20230818,99
20230819,99
20230820,98
20230821,96
20230822,94
20230823,93
20230824,92
20230825,91
20230826,90
20230827,88
20230828,87
20230829,86
20230830,85
20230831,83
20230901,82
20230902,80
20230903,77
20230904,75
20230905,72
20230906,69
20230907,66
20230908,63
20230909,59
20230910,56
20230911,52
20230912,49
20230913,46
20230914,44
20230915,42
20230916,39
20230917,38
20230918,36
20230919,33
20230920,29
20230921,26
20230922,23
20230923,21
20230924,19
20230925,17
20230926,15
20230927,14
20230928,11
20230929,8
20230930,7
20231001,6
20231002,5
20231003,5
20231004,4
20231005,4
20231006,3
20231007,3
20231008,2
20231009,1
20231010,1
20231011,1
20231012,1
20231013,1
20231014,1
20231015,1
20231016,1
20231017,1
20231018,2
20231019,2
20231020,3
20231021,2
20231022,3
20231023,3
20231024,3
20231025,3
20231026,4
20231029,5
20231030,5
20231031,5
20231101,6
20231102,7
20231103,8
20231104,7
20231105,8
20231106,9
20231107,9
20231108,9
20231109,9
20231110,10
20231111,10
20231112,11
20231113,12
20231114,12
20231115,13
20231116,13
20231117,14
20231118,14
20231119,14
20231120,14
20231121,14
20231122,15
20231123,16
20231124,17
20231125,17
20231126,17
20231127,17
20231128,17
20231129,17
20231130,17
20231201,17
20231202,18
20231203,18
20231204,18
20231205,18
20231206,18
20231207,18
20231208,18
20231209,18
20231210,17
20231211,17
20231212,17
20231213,17
20231214,17
20231215,17
20231216,17
20231217,17
20231218,17
20231219,17
20231220,17
20231221,17
20231222,16
20231223,16
20231224,17
20231225,17
20231226,18
20231227,17
20231228,17
20231229,18
20231230,18
20231231,17
