site,roi,veg,year,gvf_sos,gvf_mos,gvf_dos,gvf_eos,gcc_sos,gcc_mos,gcc_dos,gcc_eos,ndvi_sos,ndvi_mos,ndvi_dos,ndvi_eos,gvf_vs_gcc_div,gvf_vs_gcc_gap,gvf_vs_gcc_dtw,gvf_vs_ndvi_div,gvf_vs_ndvi_gap,gvf_vs_ndvi_dtw,gcc_vs_ndvi_div,gcc_vs_ndvi_gap,gcc_vs_ndvi_dtw
SRER,NEON.D14.SRER.DP1.00033_SH_1000,SH,2024,39.0,79.0,79.0,366.0,19.0,79.0,92.0,365.0,24.0,89.0,92.0,365.0,0.6731412166597921,8.5,0.0659983595169349,0.743644118460855,9.75,0.0472155470322835,0.2994101750016752,3.75,0.0315530321445323
BART,NEON.D01.BART.DP1.00033_DB_1000,DB,2024,115.0,167.0,229.0,326.0,130.0,139.0,235.0,296.0,112.0,154.0,246.0,316.0,1.4416941921869482,19.75,0.0309799064726622,0.812158499172777,10.75,0.0443013563156341,1.1990543859288465,16.0,0.0561972430717037
HARV,NEON.D01.HARV.DP1.00033_DB_1000,DB,2024,115.0,167.0,229.0,326.0,128.0,140.0,211.0,334.0,120.0,150.0,243.0,334.0,1.2166284527889333,16.5,0.0380570242175047,0.8214349208416272,11.0,0.0357206351273414,0.9292296424435196,12.5,0.0363724995863765
ORNL,NEON.D07.ORNL.DP1.00033_DB_1000,DB,2024,43.0,159.0,235.0,330.0,87.0,108.0,231.0,322.0,86.0,122.0,224.0,328.0,1.973119520064283,26.75,0.0624052343499972,1.7058618126000942,23.25,0.0451475268858084,0.523006041478094,7.0,0.023006041478094
DELA,NEON.D08.DELA.DP1.00033_DB_1000,DB,2024,71.0,126.0,152.0,366.0,79.0,95.0,126.0,365.0,75.0,107.0,229.0,365.0,1.2112626987557005,16.5,0.0326912701842716,1.8370692794951344,25.25,0.0334978509237059,2.150398455278711,29.75,0.025398455278711
MOAB,NEON.D13.MOAB.DP1.00033_GR_1000,GR,2024,31.0,178.0,239.0,305.0,2.0,239.0,247.0,273.0,64.0,168.0,179.0,328.0,2.41563913644027,32.5,0.0942105650116982,2.319664660665997,31.5,0.069664660665997,4.6332095024894,64.0,0.0617809310608287
ONAQ,NEON.D15.ONAQ.DP1.00033_SH_1000,SH,2024,43.0,139.0,139.0,267.0,42.0,113.0,113.0,310.0,19.0,143.0,152.0,365.0,1.754238531049079,24.0,0.0399528167633644,2.5603444568537843,34.75,0.0782015997109271,2.6809407409053336,36.75,0.0559407409053335
KONA,NEON.D06.KONA.DP1.00033_AG_1000,AG,2024,35.0,162.0,221.0,314.0,42.0,108.0,128.0,277.0,20.0,110.0,119.0,272.0,3.478323062916291,47.75,0.0676087772020054,3.814256985494747,52.75,0.0463998426376041,0.7539404517700041,9.5,0.0753690231985755
TALL,NEON.D08.TALL.DP1.00033_EN_1000,EN,2024,77.0,139.0,143.0,366.0,11.0,218.0,278.0,362.0,2.0,197.0,226.0,365.0,5.1077669736887765,71.0,0.0363384022602055,3.9370037227979746,54.25,0.0620037227979746,1.5724578475359898,21.25,0.0546007046788471
JORN,NEON.D14.JORN.DP1.00033_GR_1000,GR,2024,78.0,156.0,237.0,333.0,2.0,212.0,212.0,365.0,2.0,110.0,110.0,365.0,3.549496578915374,47.25,0.1744965789153739,5.147916592621528,70.25,0.1300594497643847,3.7354275881931622,51.0,0.0925704453360196
CPER,NEON.D10.CPER.DP1.00033_GR_1000,GR,2024,83.0,140.0,155.0,366.0,2.0,239.0,246.0,274.0,2.0,2.0,17.0,365.0,6.521304145123639,90.75,0.0391612879807819,6.472251390047076,89.5,0.0793942471899329,10.015251098058128,139.25,0.0688225266295569
